Name,Prompt URL,Description,Prompt Tags,Type,Created time
Create Academic Paper,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/create_academic_paper.md,"Analyze prose to create a high-quality academic paper in LaTeX, ensuring the paper is laid out logically and authoritatively. Output only LaTeX code using a two-column layout with headers and footers.",Analyze Text,text,"January 6, 2025 8:01 AM"
Create AI Jobs Analysis,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/create_ai_jobs_analysis.md,"The prompt is designed to analyze the impact of AI on jobs, determining which categories of work will be most affected by automation and providing recommendations on how individuals can make themselves resilient to automation. It involves using historical and industrial revolution insights to identify job vulnerabilities and resilience attributes.","AI, Career Advice, Job Search",text,"January 6, 2025 8:01 AM"
Create Aphorisms,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/create_aphorisms.md,"Create a list of 20 aphorisms using the given input as topics, including the person who said each one at the end.","Inspirational Quotes, Motivation, Writing",text,"January 6, 2025 8:01 AM"
Create Art Prompt,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/create_art_prompt.md,"Create a 100-word description of the concept and its visual representation, then write direct instructions to the AI for creating the art, including nudging clues to match the desired style, such as ""Like you might see in the New York Times"" or ""Like you would see in a Sci-Fi book cover from the 1980s."" This approach ensures the generated art aligns with the concept and desired aesthetic.","AI, Art, Content Creation",text,"January 6, 2025 8:01 AM"
Create Better Frame,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/create_better_frame.md,"Create better frames for your prompts by specifying clear instructions, providing reference text, and using delimiters to disambiguate task details. This approach helps ensure that the model understands exactly what you are asking and generates more relevant and accurate responses.","AI, Content Creation, Prompt Management",text,"January 6, 2025 8:01 AM"
Create Coding Project,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/create_coding_project.md,Analyze code to generate a coding project with detailed instructions and avoid using deprecated methods. Create a README.md file with step-by-step configuration and usage instructions for the project.,"Coding, Content Creation, Software",text,"January 6, 2025 8:01 AM"
Create Command,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/create_command.md,"Guide users to create effective AI command prompts by specifying desired actions, contexts, and constraints. Encourage clear, concise instructions to achieve optimal AI responses.","AI, Prompt Management, Self-Improvement",text,"January 6, 2025 8:01 AM"
Create Cyber Summary,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/create_cyber_summary.md,"Summarize various cybersecurity threats, vulnerabilities, incidents, and malware in concise bullet points. Create mental models to fully understand input and organize information into specific categories for clear communication.","Cybersecurity, Data Science, Summary",text,"January 6, 2025 8:01 AM"
Create Git Diff Commit,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/create_git_diff_commit.md,"Identify significant changes in a Git diff and generate corresponding git commands for adding and committing these changes using conventional commit prefixes. Output only the necessary shell commands in human-readable Markdown format, without using code blocks.","Coding, Software",text,"January 6, 2025 8:01 AM"
Create Idea Compass,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/create_idea_compass.md,"Analyze the central idea or question you want to explore, and then use the Idea Compass template to structure your thoughts and generate relevant ideas or solutions. The template helps by breaking down the central idea into manageable parts, ensuring a comprehensive and organized approach to idea generation.","Brainstorm, Content Creation, Productivity",text,"January 6, 2025 8:01 AM"
Create Investigation Visualization,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/create_investigation_visualization.md,"Analyze prose to identify key themes and create a visualization of the investigation findings. Provide a detailed, step-by-step guide on how to generate the visualization using specific tools and techniques.",Analyze Text,text,"January 6, 2025 8:01 AM"
Create Keynote,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/create_keynote.md,"The prompt is designed to guide the creation of TED-quality keynote presentations by breaking down the input into narrative sections and slide content, ensuring a clear and engaging flow. It outlines steps to determine the takeaway, create slide decks with bullet points, and include speaker notes for a cohesive presentation.","Content Creation, Presentation, Public Speaking",text,"January 6, 2025 8:01 AM"
Create Logo,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/create_logo.md,"Create simple, elegant, and impactful company logos based on the input given, using a minimalist design without text. The logos aim to be visually striking and easy to recognize.","Art, Graphic Design",text,"January 6, 2025 8:01 AM"
Create Markmap Visualization,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/create_markmap_visualization.md,"Create a Markmap visualization of the input data to better understand its structure and relationships. This involves breaking down the input into entities, relationships, and context to generate a detailed graph-like diagram.","Analyze Text, Data, Visualizations",text,"January 6, 2025 8:01 AM"
Create Mermaid Visualization,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/create_mermaid_visualization.md,"Create a Mermaid visualization that best explains the input using intricate Mermaid syntax, ensuring the visual conveys the concept(s) clearly and stands as a standalone diagram.","Coding, Data Science, Visualizations",text,"January 6, 2025 8:01 AM"
Create Micro Summary,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/create_micro_summary.md,"Analyze prose to create a concise, Markdown-formatted summary. Output should be a brief, structured summary using the provided format.","Analyze Text, Summary, Writing",text,"January 6, 2025 8:01 AM"
Create Network Threat Landscape,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/create_network_threat_landscape.md,"Create a network threat landscape by identifying potential vulnerabilities and threats to a network, including both internal and external risks, to enhance cybersecurity measures. This involves mapping out the various attack vectors and mitigating strategies to ensure robust network security.","Cybersecurity, Data Science, Tech Trends",text,"January 6, 2025 8:01 AM"
Create NPC,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/create_npc.md,"Create a character description for a fictional setting, including details about the character's appearance, personality, and background. The prompt should be specific enough to guide the AI in generating a detailed and coherent character profile.",Game Development,text,"January 6, 2025 8:01 AM"
Create Quiz,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/create_quiz.md,"Create challenging review questions for a student based on the main concepts and learning objectives provided, tailored to the specified student level. Output questions and answers in a structured Markdown format.","Students, Study Guides",text,"January 6, 2025 8:01 AM"
Create Reading Plan,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/create_reading_plan.md,"Design a three-phase reading plan tailored to the user’s interests or author preferences, including core, extended, and exploratory reading suggestions. Use a structured format with brief explanations for each recommended book, ensuring clarity and relevance to the user’s request.","Books, School, Students",text,"January 6, 2025 8:01 AM"
Create Real Estate Listing,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/create_real_estate_listing.md,"Analyze real estate listings to create engaging and informative property presentations for a real estate agency. The prompt outlines steps to design compelling property listings, including highlighting key features and amenities.","Content Creation, Presentation, Real Estate",text,"January 6, 2025 8:01 AM"
Create Real Estate SEO,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/create_real_estate_seo.md,"Generate SEO-friendly content for a real estate agency by creating detailed guides about neighborhoods, market analyses, and advice for buyers and sellers, ensuring the content is informative, engaging, and authoritative. The structure includes an introduction, main content, and conclusion, focusing on key real estate keywords and local market trends.","Content Creation, Real Estate, SEO",text,"January 6, 2025 8:01 AM"
Create Real Estate Tenant Questionnaire,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/create_real_estate_tenant_questionnaire.md,"Create a real estate tenant questionnaire by specifying the necessary sections and questions, ensuring clarity and relevance for both landlords and tenants. The prompt should outline the format and content of the questionnaire, including sections for tenant information, lease terms, and potential issues or concerns.","Real Estate, Rental Tips, Surveys",text,"January 6, 2025 8:01 AM"
Create Report Finding,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/create_report_finding.md,"Write a detailed markdown report for a cybersecurity finding, including sections on description, risk, recommendations, references, a one-sentence summary, trends, and quotes. Ensure each section is concise, informative, and free of jargon, following a clear structure to provide insightful analysis and practical recommendations.",Cybersecurity,text,"January 6, 2025 8:01 AM"
Create Security Update,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/create_security_update.md,"The prompt is designed to create a security update by specifying the type of issue, affected source files, and steps to reproduce the issue. It includes details like the location of the affected source code, special configuration required, and proof-of-concept or exploit code if possible.","Cybersecurity, Software, Troubleshooting",text,"January 6, 2025 8:01 AM"
Create Show Intro,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/create_show_intro.md,"Create a short intro for a podcast by fully understanding the show's topics and themes, then crafting a concise and interesting summary of the conversation, including key topics and the guest's identity.","Content Creation, Podcast, Summary",text,"January 6, 2025 8:01 AM"
Create Sigma Rules,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/create_sigma_rules.md,"Extract Tactics, Techniques, and Procedures (TTPs) from security news publications and translate them into YAML-based Sigma rules for host-based detections, focusing on tools like Sysinternals, Sysmon, PowerShell, and Windows logs. Each rule should be documented in a standard Sigma format with clear detection criteria and false positive conditions.","Cybersecurity, Data Extraction, Data Science",text,"January 6, 2025 8:01 AM"
Create Stride Threat Model,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/create_stride_threat_model.md,"Analyze the threat model for a stride-based system, identifying potential vulnerabilities and mitigation strategies. Provide a detailed explanation of the security risks and recommended countermeasures.","Cybersecurity, Data Science, Technology",text,"January 6, 2025 8:01 AM"
Create Summary,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/create_summary.md,"Summarize content by creating a concise, 20-word sentence, listing the 10 most important points, and highlighting 5 key takeaways in Markdown format.","Content Creation, Summary, Writing",text,"January 6, 2025 8:01 AM"
Create Tags,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/create_tags.md,Analyze text to identify relevant keywords and categorize them into specific tags. Provide a list of suggested tags based on the context of the text.,"Analyze Text, Content Creation, Data Science",text,"January 6, 2025 8:01 AM"
Create Threat Scenarios,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/create_threat_scenarios.md,"Create threat scenarios by identifying potential risks and vulnerabilities in a given system or environment, considering various factors such as human error, technical failures, and external attacks. The goal is to develop comprehensive and realistic threat models that can inform security strategies and mitigation plans.","Cybersecurity, Data Science",text,"January 6, 2025 8:01 AM"
Create Upgrade Pack,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/create_upgrade_pack.md,"Identify and extract key insights and strategies from the input content to update understanding of world models and task algorithms. Organize findings into structured sections for high-level beliefs and practical task guidelines, each with concise, descriptive bullet points.","Analyze Text, Data Science, Research",text,"January 6, 2025 8:01 AM"
Create Video Chapters,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/create_video_chapters.md,"Create video chapters by breaking down the content into logical sections, ensuring each section has a clear title and brief description. Organize the chapters in a way that makes it easy for viewers to navigate and understand the video's structure.","Content Creation, Productivity, Video Script",text,"January 6, 2025 8:01 AM"
Create Visualization,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/create_visualization.md,Analyze a dataset to create a visualization that highlights key trends and insights. Use clear and concise language to describe the data and ensure the visualization is easy to understand.,"Analyze Text, Data Science, Visualizations",text,"January 6, 2025 8:01 AM"
Explain Code,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/explain_code.md,"Analyze code snippets to identify key components and explain their functionality in a clear and concise manner. Provide detailed explanations of programming concepts and structures, ensuring that the explanations are accurate and easy to understand.","Coding, Software Engineers",text,"January 6, 2025 8:01 AM"
Explain Docs,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/explain_docs.md,"Reformat and improve tool documentation by summarizing its purpose, usage syntax, common use cases, and key features into concise Markdown sections. Output only the requested sections, ensuring clarity and relevance.","Coding, Software Engineers",text,"January 6, 2025 8:01 AM"
Explain Project,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/explain_project.md,"Analyze project documentation to create a crisp, user and developer-focused summary of the project's purpose and usage. The summary should include a one-sentence overview, the problem it addresses, the approach to solving it, installation steps, usage guidelines, and examples of its application.","Analyze Text, Content Creation, Summary",text,"January 6, 2025 8:01 AM"
Explain Terms,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/explain_terms.md,Analyze terms required to understand a given piece of content by producing a glossary of terms. The prompt aims to explain complex terminology in a clear and concise manner.,"Analyze Text, Content Creation",text,"January 6, 2025 8:01 AM"
Extract Algorithm Update Recommendations,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/extract_algorithm_update_recommendations.md,Analyze the algorithm update recommendations to identify key changes and suggest improvements for optimizing performance. Provide detailed insights into the impact of these updates on the system's efficiency and user experience.,"AI, Data Science, Technology",text,"January 6, 2025 8:01 AM"
Extract Article Wisdom,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/extract_article_wisdom.md,"Analyze the content of an article to extract surprising, insightful, and interesting information, including summaries, ideas, quotes, facts, references, and recommendations. Extract these elements into specific sections for a comprehensive summary.","Analyze Text, Content Creation, Summary",text,"January 6, 2025 8:01 AM"
Extract Book Ideas,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/extract_book_ideas.md,"Analyze the book's content to extract 50 to 100 of the most surprising, insightful, and interesting ideas. Output the ideas in Markdown format, ordered by interest and surprise, with each bullet limited to 20 words and no repetition.","Analyze Text, Books, Content Creation",text,"January 6, 2025 8:01 AM"
Extract Book Recommendations,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/extract_book_recommendations.md,Analyze book recommendations by identifying relevant titles and genres based on user preferences and reading history. Provide personalized book suggestions with detailed descriptions and recommendations for further reading.,"Analyze Text, Books, Content Creation",text,"January 6, 2025 8:01 AM"
Extract Business Ideas,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/extract_business_ideas.md,"Analyze business ideas that could revolutionize or overhaul existing or new markets. Identify innovative concepts that leverage technology, sustainability, and consumer needs to create impactful ventures.","Entrepreneur, Technology",text,"January 6, 2025 8:01 AM"
Extract Extraordinary Claims,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/extract_extraordinary_claims.md,"Analyze prose to identify extraordinary claims made by individuals, focusing on their emotional impact and potential influence on readers. Provide examples of such claims and discuss their effectiveness in engaging audiences.","Analyze Text, Content Creation, Psychology",text,"January 6, 2025 8:01 AM"
Extract Ideas,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/extract_ideas.md,"Extract surprising and insightful ideas from text content related to various topics like human flourishing, technology's role in the future, and artificial intelligence. Present these ideas as concise 15-word bullet points in Markdown, focusing solely on capturing key concepts without repeating or recommending content.","AI, Analyze Text, Content Creation",text,"January 6, 2025 8:01 AM"
Extract Insights,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/extract_insights.md,"Extract surprising and insightful ideas from text content, focusing on topics like human flourishing, technology's future role, and AI's impact. Summarize these ideas into concise 15-word bullet points, categorizing them into ""IDEAS"" and refined ""INSIGHTS"" for clarity and depth.","AI, Analyze Text, Summary",text,"January 6, 2025 8:01 AM"
Extract Main Idea,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/extract_main_idea.md,"Extract the primary, most surprising, insightful, or interesting idea from the content and write a concise summary. Provide a main recommendation based on the idea, both in 15-word sentences. Output only the requested sections in Markdown without repeating ideas or facts.","Analyze Text, Summary, Writing",text,"January 6, 2025 8:01 AM"
Extract Patterns,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/extract_patterns.md,"Identify surprising patterns in a dataset by extracting and weighting them based on frequency and insightfulness. Provide concise bullet points and analyze the process, offering advice for startups based on these patterns.","Analyze Text, Data Science, Startups",text,"January 6, 2025 8:01 AM"
Extract POC,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/extract_poc.md,"Extract key information and insights from proof-of-concept (POC) documents to summarize findings clearly and concisely. Focus on relevant data points, methodologies, and results to create concise summaries for easier analysis and decision-making.","Analyze Text, Data Extraction, Summary",text,"January 6, 2025 8:01 AM"
Extract Predictions,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/extract_predictions.md,"Analyze predictions made within content, extracting specific predictions in less than 15 words, along with their date, confidence level, and verification methods.","Analyze Text, Data Extraction, Data Science",text,"January 6, 2025 8:01 AM"
